Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Plasmacytoid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,Myeloid Dendritic,CAF,P-value,Correlation,RMSE
P_62,0.237015496852945,0.588869976551369,0.0148199436239536,0,0.0635368133334514,0,0,0.0154647912599909,0.00722825392030658,0.0034723304469902,0,0.0137221326625385,0.00898791518440824,0.00677910280157941,0,0,0.014706712431677,0.0150477688464521,0,0.0103487620843389,0,0.77395371426026,0.637667235991552
P_63,0.513244216853886,0.289074070313806,0.00429137780623828,0,0.0398557184899471,0,0,0.0193546657099479,0,0.0109363661984235,0,0.0145750712305639,0.028168459714601,0.0184360905485308,0,0,0.0112443661325978,0.0320942051665697,0,0.0187253918348878,0,0.923904915994374,0.45417875417406
P_64,0.418243319249972,0.437522536226959,0.0110355816708335,0,0.0290113669647686,0,0,0.0127949321306501,0,0.00268747274386389,0,0.0179700219629847,0.0140712232339232,0.0201809335076756,0,0,0.0106717685577697,0.00440989716006262,0,0.0214009465905371,0,0.941529782362507,0.409987696776455
P_65,0.328569386823601,0.337655752610654,0.0140466811775029,0,0.0782888605426436,0,0,0.0046519728850066,0,0.0376234349636189,0,0.0344501527680554,0.0297558813938299,0.0517204691158032,0,0,0.00744617271221366,0.0226896369856631,0,0.0531015980214088,0,0.922329582505038,0.491591808435263
P_66,0.68514003745945,0.191207727853037,0.00721658458667225,0,0.0126651477586905,0,0,0.00291928936853596,1.14422659438643e-05,0,0,0.00827790177211855,0.0146017513531164,0.0303434273678924,0,0,0.0098415779656714,0.0104673607431325,0.000200217405247287,0.0271075341004915,0,0.913334841679886,0.448350346208923
P_67,0.421854914400923,0.240390419012418,0.0175633136524941,0,0.032251798210116,0,0,0.0176229241838563,0.0021336746711258,0.00154500758612921,0,0.0156491436903516,0.0096654471445551,0.0304958521605812,0,0,0.00651405582556149,0.0075493823361278,0,0.196764067125761,0,0.898302232264102,0.512548649174335
P_68,0.177732356619212,0.587834292194718,0.010273051760209,0,0.0300210125121957,0,0,0.0153479459662422,0,0.00206264093979343,0,0.0132877959001368,0.0273149072682081,0.0383086036598093,0,0,0.00980411517741121,0.00371375630996591,0,0.0842995216920982,0,0.946687273184492,0.424487150869294
P_69,0.532211442733461,0.109443945096046,0.0604787703402141,0.0193885294023742,0.0683494941492497,0,0,0.00760075433583035,0,0.00983821633853741,0,0.0763089997875152,0.0272435980621188,0.025640871020877,0,0,0.0169239945158572,0.00193961967864538,0,0.0446317645392733,0,0.941104569525443,0.473643025319226
P_70,0.681104140257105,0.0810753614589056,0.0321836290780664,0,0,0,0,0.0344999968053512,0,0.00317964547722455,0,0.0174277298812811,0.0430094767885347,0.0174301807932902,1.73979956911185e-05,0.000664073909075935,0.0197386819958025,0.0183080981326602,0.00539295765061171,0.0459686297764,0,0.951559903436996,0.419701073140428
P_71,0.184050392682257,0.392521077286263,0.0357727609157067,0,0.0488424525110301,0,0,0.00482604896655259,0.0133863571674265,0,0,0.0274159401533164,0.0193910316365648,0.0422161589316332,0,0.000472707790581084,0.016829717800305,0.0256031529183779,0,0.188672201239985,0,0.91276034238913,0.516385354506518
P_72,0.201944531999115,0.584870203480223,0.00844273089023313,0,0.0327867809440032,0,0,0.00924206243367096,0.00645500075381203,0.00180683191274699,0,0.0172700993573135,0.00595557262814443,0.0151279555785291,0,0,0.0131901607676382,0.00668990575510307,0,0.0962181634994674,0,0.783743346261283,0.629143397001586
P_73,0.449974367218077,0.260058179130071,0.0161029918298454,0.0120521794293023,0.0134096084437016,0.0129139427940201,0,0.0414750383196485,0,0.0106084152752711,0,0.0285129135043118,0.0297854168630238,0.0364560485980008,0,0,0.00805811105184211,0.0205367242233639,0,0.0600560633195198,0,0.953044704585487,0.441735956538058
P_74,0.684780259071207,0.0580874826051979,0.0180355803230855,0,0.0151427102446529,0,0,0.0141828158688995,0.00243854694829152,0.00473999052556221,0,0.0162105651921045,0.0153920640989107,0.0242400769757803,0,0,0.00615696786933769,0.0153929045614642,0.000831492488441207,0.124368543227065,0,0.93683835384717,0.440988626244177
P_75,0.271927995106147,0.286275296849749,0.0150396315945641,0.00417699066457165,0.0110712870743002,0,0,0.0432024650161255,0,0.0503708192004549,0,0.0397003285254571,0.0307066154432778,0.0640092032762,0,0,0.00959596338965731,0.0107111919070173,0.00380595850471192,0.159406253447766,0,0.941655290136651,0.491672635866455
