Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE,Absolute score (sig.score)
P_60,9.34543029709281,17.7073700396229,0,0,0.23352407818213,0,1.59951122964806,0,0,0,0,0,1.15059457881165,0.417321076974495,0,0,0.00461077042893521,0.344231346149757,2.91825887510961,0.04,0.0349681410063128,1.03803533859474,33.7208522920204
P_62,5.51966119515743,19.0973043122985,0,0.0274405861843032,1.00760087937119,0,0.260816020833559,0,0.216365452832415,0,0,0,0.5380039855639,0,0,0,0.354010001221678,0.809627224486516,0.0450854524070747,0.03,0.0399853814059305,1.04835074362125,27.8759151103565
P_63,13.5610129649814,8.01713647917805,0,0,0.813611378679859,0,0,0.299973777959745,0,0,0,0,0.701869299009116,0.289533135670807,0,0,0,0.286193572897759,1.79816684493397,0.01,0.0512370662325976,1.03279728852517,25.7674974533107
P_64,14.9160705345801,13.3287633917641,0,0.267734579374863,0.445872539981176,0,0.821707643019076,0,0,0,0,0,0.416044856021912,0.208765301906036,0,0,0.00146389174293634,0.573358031209262,1.75481006231906,0,0.0536710082821439,1.03460330850441,32.7345908319185
P_65,4.98907974948726,5.39904489185109,0.588954839429838,0,0.848870537525953,0,0,1.71101384707863,0,0,0,0.345736616758132,1.54870302713151,1.87596525096195,0,0,0,2.16574973482481,2.38879661530736,0,0.127230788985866,1.03731916172414,21.8619151103565
P_66,16.2918216388576,8.240034902173,0.0566054519346979,0,0.170544917607066,0,0,0.102917620872798,0,0.0942855138268452,0,0.0904542170370456,0.473157231208819,0.564940903165369,0.00670432856476371,0,0,0.0490777671769867,0.958640566997772,0.01,0.0464865124149021,1.03839082455162,27.0991850594227
P_67,9.70997415175893,10.1305378521896,0,0,0.354324399092583,0,0.614670908944045,0.41870361802325,0,0,0,0,0.148657871967571,0.32727057823574,0,0,0,0.0217282161617554,11.0494906379219,0,0.0536395527704344,1.0339328968581,32.7753582342954
P_69,17.1496162864614,2.79658038729692,1.29742614311722,0,0,0,0.696468094428957,0.850787462641433,0,0,0,1.15209757675103,0.725860950452468,0.509981137245775,0,0,0,0.820374328907097,1.13256315052454,0,0.0644776429833453,1.02800062126018,27.1317555178268
P_70,19.9259775235075,2.33446272761343,0,0,0.333281169879885,0,0,0.370892831437902,0,0,0,0,0.450048830505382,0.520931415092961,0,0,0.169031523473794,1.2503426511688,1.49923506246462,0,0.069635767068847,1.03791382506115,26.8542037351443
P_71,4.15073094769622,9.4325188017663,0.590217398657045,0,0.0305447464820554,0,0.767084336251125,0,0.643851824276696,0.275253764989251,0,0,0.471748656987756,1.03093997956239,0,0.163184715366849,0.597788147742658,0.489796498259937,7.98276802576478,0,0.0978861973319711,1.01536973304946,26.6264278438031
P_72,8.8772824720394,9.09425769558633,0,0.382751347877554,0.326184079701466,0,0,0.449953743858147,0,0,0,0.225711400249041,0.26221539162694,0.22711003547116,0,0,0.0889461165867693,0.000373771141397399,2.20385571156637,0.05,0.0266439679389253,1.03943214575098,22.1386417657046
P_73,10.3079603292568,8.99428584880243,0,0,0.365601558420138,0,0.58526312214397,0.975025688280229,0,0,0,0,1.18868107051762,0.510797240962086,0,0,0,1.20495363232156,1.85025663662967,0,0.0908080208661437,1.02377809751775,25.9828251273345
